BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Plasmalogen,20593708,49499508,26463304,41509008,28134754,36949680,35135420,29282732,18585436,43352020,28032860,26395468,30100420,27914778,25790464,27605816,18870698,27610932,31749984,24667532,19195164,27968352,15210639,25733616,18801032,17169270,32583992,28392476,16215423,31739100,18327286,25977236,27788762,45124040,33608636,18016108,26773046,30182986,37280456,30490316,11097314,41343008,23629796,17345280,34267252,29850934,19251144,21548400,21302616,25674042,27755576,32253990,33185766,17295888,33908552,22386906
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Plasmalogen,76400224,95650832,61501980,94672824,97208224,77206104,59420620,68549672,42778084,82760824,73594928,63353480,75175464,89537608,88382896,68152032,65327596,104430872,85872256,73032832,113137496,57421992,99628464,82436544,66692616,49712596,106890416,110578144,96623792,128564824,48926124,57212280,95228688,186959360,78933496,80614976,61340436,108066592,159239136,69572336,74374376,83936248,73980768,69492160,88319704,111253088,84767248,102383656,71381984,53490816,81378584,128541288,109453560,63100748,69925216,89079304
1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lysoplasmalogen,1052258,1820935,840736,2091409,1945742,1394211,1293499,2658776,762133,1453078,1415814,1275452,1425656,3363141,2726029,2010196,1697617,2381072,1721559.88,2355459,3073634,983700,2203720.25,2915234,3782260,1204039,2425160,3614769,1826706,2142095,2778061,1517040,3398289,3600082,2581624,3567530,1797011,2663353.25,4397302,1285800,1584703,2213546,3033690,2207182.75,1889158,2172359,1450296,1405489,2699559,1356233,2275085,6457664,1723149,2304980,2922371,1610715
1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lysoplasmalogen,836096,1379689,778398,1611938,1345935,1119732,478326,768427,238948,1134637,818901,714018,912204,1007753,1191147,621546,603925,706735,886448,1002524,2260169,864675,1716760,494376,703124,566946,1722560,1781153,995500,1072923,523544,584643,1569979,4679521,1148263,982763,713779,1439389,3102098,750985,1108310,1108840,874841,782899,1024289,2124013,1038378,1283625,501940.03,487410,1355601,1082488,1605179,780143,910551,1324657
1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*,Lysoplasmalogen,2320484.75,3316785,1966253.88,3180964.75,1692094.88,2782251,2928791,3832590.5,2356856,3024130,2774806,3117709,3386986.25,3346211.25,2401806,2520615,1901211.75,2151438,2428041,3430157,1219732.38,2660103.25,1442015.88,3634399.25,1486221,871819,3064311,2916482.75,1348766,4186989.5,2222267,1993014,3351837,4835151,3954531.5,2013704.75,2240207.5,3199343,2078046.88,2350619,804260,4884155.5,2108314.75,1556248.25,4197161.5,2289934,1149527.25,2306817.5,2615922,2378402.5,3410394,2726476,3720895.5,1986948,2647817,2386634
glycerol,Glycerolipid Metabolism,2687445,3715862,3608748,2414164,4186619,1035336.06,1762675,3864695,3694651,4507664,3065069,2629834,3763012,5266748,4680295,4102535.75,1652662,2052573,1846139,3463395,3263164.25,3960471,1428749,11435472,2575086,4464695,5899524,2431561,3615268,3706902,3046594,2072210,1464906,3201797,4479204,2746229,2745504,2867680,3370337.75,2072764.13,2858501,1334554,2426694,2332981,2838004,3745110,3185208.25,1789020,3995933,1406335,2400959,2953000,8364730.5,5757952,4871373,1484725
glycerol 3-phosphate,Glycerolipid Metabolism,275836,206572.02,359721,263102,201463.98,202557.98,203486,432331.03,137849,392961.03,150333,185601,168011,115166,243638,283104,172180,71953,142099,162634,161303,155887,263924,333611,133841,289470,103970,124204,268342,239294,178095,156289,98324,102308,206767.98,104655,102997,118796,171427,170261,85543,170858,81923,221197.98,98638.01,79078,148337,207923,154167,97839,88177,148002,216382,187579,160487,169470
palmitoyl sphingomyelin (d18:1/16:0),Sphingolipid Metabolism,377973280,398389536,390231072,448856448,289237120,270142432,313006144,362771552,217258192,432838688,355220352,309174336,278356864,296576800,372494272,353600608,298409248,290518176,370192096,338793824,409211296,340471232,345246976,316677344,280032896,242002224,389718560,342637760,342492384,381606752,299227456,326441536,363525856,321791936,317631680,274591008,302561600,342811520,456141408,378429024,299165344,303511360,332332000,238183136,339624192,374054432,326518688,317562912,296043552,232436880,367948000,286335040,380091136,253770720,305370752,326629120
sphingomyelin,Sphingolipid Metabolism,82960280,67103116,84473128,83283768,73204016,65865360,53503352,62249544,41870876,78358240,62941808,52132700,52087260,58832480,67121392,56448344,40650324,66234340,63096416,53948344,110367496,65672000,94326064,77033240,53224164,59106360,58443656,54283504,98305488,103016712,35998312,62161476,57105984,73481616,51650200,58116692,55468916,56378852,99819960,61667440,72867960,59381728,72338112,43630676,49631784,68463784,80768760,64151904,31582820,40832616,53747976,63437496,63411084,53878560,42897768,61452160
"sphingomyelin (d18:1/18:1, d18:2/18:0)",Sphingolipid Metabolism,35607116,26873426,33724388,35753504,32449436,27600856,23113624,22239560,17382080,33327298,24767692,22604644,18681488,20559228,25933438,24260660,22132438,23511012,30366146,21392100,48998104,26015664,37883980,28714970,21854904,25037856,29140272,23340352,46651284,36963964,13100649,20902364,23349324,35836768,21937040,25126678,26096406,22708068,52809712,24362100,25182246,20985330,28996748,18616680,21070872,26173066,37234168,24062000,12286363,16049332,21884892,26178976,27613948,23056882,19412702,23894606
