BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
curcumin,Food Component/Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4287984,,,,,,,,,,,,,,,,19879048,,,,,,,,,,
harmane,Food Component/Plant,79258,94788,229779,88956,86213,101174,355426,938802,,48031,49716,99979,87644,40575,266371,305165,1428526,30985,230268.0156,83490,132413,64116,71758,,228315.9844,209638,110916,,135617,139039,51136,330756,79017,142110,82532,67338,117305,104463,1477020,,168925,75729,269197,214388,50165,48772,1547826,212386,307170,,349407,84408,113802,,97351,97850
feruloylputrescine,Food Component/Plant,575423,,,,,,325349,,,,87536,,,,176937,,310376,135160,,676659,,,,,,48420,,,,191931.9844,185872,,148787,,,,,,118173,,,48935,,,,,,274098,161341,,,381036,155126,,,
synephrine,Food Component/Plant,,,,,,,127192.9922,,,29341,46059,,,,48171,,,1280914,34667,,,32352.002,36869,,,,,,763467,125974.9922,31229,,221289.9844,,,,2764257,,198347,,,104102,,,,,26224,83448,641630,,45043,27240.998,,,2077837,
pyrraline,Food Component/Plant,2695677,386191.9688,122385,131371,135224,318945,10918281,441960.0313,11183173,8089513,92377,71573,153156,5360571,274656,232605,880151.0625,413955,32468,1659176,,97929,1656289,81322,2486378,168649,110212,824837.0625,2246681,99566,451021,328710,484136,74084,2854781,278295,217664,255018.0156,824437,43271,190499,109489,3222325,875839,400443,633664,824531,59580,186683,2067973,578179,104909,119240.9922,2854594,590180,959625
steviol,Food Component/Plant,,217237,,,979559,1253030,2577842,5163055,,,,,,3012375,,124497.0078,61565.0039,84090,2348386,181430,260345,60101,,,1019698,331849,,4973869,29859634,6540851,,,155155,977515,5657324,,748153,,,877838,,,380297,,,56753708,20230352,632769,,,1356107,469594,713398,61719.0039,,
2-hydroxycinnamate,Food Component/Plant,863429,720353,369224,,322000,507941,611624,658928,1877422,1924554,194790,217660,366026,744940,473801,549169,1117691,1528882,668938,2340990,890289,321962,425987,305252,290732,502065.0313,857793,1540943,870083,387020,3520192,1108387,893599,1593571,264891,1154495,2082627,637934,1765543,344744,2181671,278825,481758.9688,246073,1621589,2322340,1193194,476897.9688,1943706,1296020,3114525,5145857,2615293,655092,4206834,622284
2-acetamidobutanoate,Bacterial/Fungal,535425,266877,294018,129159.0078,367139,213875,,217641,146997,240285,163976,160557,,463830,361665,204755,1143376,142766,174118,373986,,,409698,190667,1422189,4034285,161005,2774493,1278474,244470,169716,542080,813769,,,,321135,,212103,,763327,,,601154,,540627,773815.9375,322267,425549,384417,282954,397708,,,,304132
glutamyl-meso-diaminopimelate,Bacterial/Fungal,458143,1030249,,48407,,,361497,119510,92788,170917,67195,359548,290188,4048068,191866,61470,,837697,99705,259713,526010,,179898,,67504,,45544,,,380873,1047020.938,755852,46670,1398618,221783,831704,409038,160003,289027,,103868,164618,225296,,363163,2340929,96642,,,,,715648,83556,683964,144531,72300
azithromycin,Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658334,,,,,,,,,,,,
ibuprofen,Drug,,,,,,,,,,,,111916.0078,,,,,,,,27688,,,,,,,,,,,,,,,,,,,,,,,,,,,750579,,,,,,,,,
2-hydroxyibuprofen,Drug,,,,,,,,,,,,327840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009,,,,,,,,,
carboxyibuprofen,Drug,252372.0156,,,,,103546,,,,,18719,27398146,,,,,30642,,,1419443,,,,,,,,,,,,90278,,,,,,,,,,,,38234,,,8392142,,307410,,818733,,,,,
aripiprazole,Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5372877.5,,,,,,,,,,,,,,,,,,3573258,,,
dextromethorphan,Drug,,,,,,,,,,,,,,,,,,,,818804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diphenhydramine,Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393395,,,,,,,,,,,,966722.0625,,,,,,,,,
fexofenadine,Drug,,,,,,,,,,,,,,,,,,,,291545920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600652544,,,,,,
fluoxetine,Drug,,,,,,,,,,,,,,,,,,,,,,,,7864537,,,,,,,,,,,,,,,,,,22576364,,,,,,,,,,,,,,
lamotrigine,Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38901448,,,,,,,,,,,,,,,,,,89990232,,,,,,
salicylate,Drug,424450,,,,,,107463,,105799,185013,,74983,,244167,101406,,145845,,117572,312805,84573,,,,91670,234958,,165536,,,,,,99772,,432157,270759,,153577,,165904,,130711,121242,756027,170409,134720,,179995.9844,167311,,128114.0078,,,,
Cetirizine,Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21379686,,13921524,,,,,,13116458,,,,,,,,,,31186922,,14944301,,,,,,14244103
diglycerol,Chemical,4891400,839123,2363688,29209124,3657169.75,1311055,331057,2106840,1221256,1786931,3445287,2043094.875,1414760,1103738,1883337,747217,407761.9688,1361323,1379407,1046653,377736,123997,1432646,1623162.125,866278,3268075,1562657,823819,6363404,2223567,538786,186197,129036,300880,893052,277034,2930848.25,3164536,337719,512354,811409,323092,2570361,5684313,1076377,3136074,1607309.875,1588571,1394937,531367,1318367,1171591,545601,1812488,636750,6259906
