	shannon_entropy
10532.bf33f337.90ba.4242.b35f.b1cc0b9a1ead	4.6243736860056375
10532.bfd4d640.7817.49c8.ac35.a7a91b49e21b	3.814584919095826
10532.c2072c98.e9a0.4af2.8cc1.c03be62710d8	5.71063164819078
10532.c287751e.0263.4fda.8aa2.3b717855e2ee	4.3807236543290236
10532.c2e216e3.51c4.4894.8352.48d0fef7efc7	1.386448342695387
10532.c34ddc28.a67b.4478.b42d.7be7542bb228	2.480275376794725
10532.c3ac12ed.e37d.4759.9a2c.9b71d45d9ea6	4.831716364079025
10532.cdf7a3e6.75b1.4370.8d53.d8ac4596a0ca	3.8077196015190626
10532.ce5c847c.452d.46fc.96d9.ba2ff164a5ab	4.330958012862927
10532.cf793ef1.e300.4ea8.9039.60e647436b4d	6.064838548486945
10532.cfc37a70.9ba6.4d25.b541.4c0ff9d1bfeb	6.035210800648573
10532.cfe0d2d7.c78b.4092.b923.3322b4312c6d	5.675587771794063
10532.d056b75a.5ff8.4db3.9991.4cc8566d7528	5.268594086515972
10532.d08dfd2b.1f98.47da.b9ee.fc7c8125b3a3	6.036045554958344
10532.d43b37cd.6e23.4ccb.8d1a.a05be77c1288	4.990357129819195
10532.d592b0a9.ad8d.42fe.a641.b72316502f12	5.710932343876903
10532.d5d52d16.58aa.4619.97ea.a6ac89e12ec3	6.7761227073607335
10532.d8f4038a.7576.4fd3.89c3.60a3f6bc06c0	4.1575357607571535
10532.da66fe06.1e1c.4acf.97a1.3c71dbfae960	4.196929856569361
10532.dc609d92.2073.4db2.aea8.670c816c2fd8	4.594840702493147
10532.debb2485.5abd.467b.9f85.acba57398d89	5.876386605412252
10532.df184576.d144.44c7.b620.ab1332e33b80	4.526977304298922
10532.e423f626.6364.438b.ab33.a76afca3c521	3.4405974741244747
10532.e48e002a.f4fd.46d4.982e.6fe0854cd48a	3.869752907432051
10532.e5cdbed1.703a.4cf4.b54a.90fd47411654	5.411751801374235
10532.e8c5ac44.36bc.41cc.8096.d3090e9b156c	4.625888025275852
10532.e9494e22.99d6.4e10.868f.208832eb3104	5.238377698283546
10532.ea68ac1a.53e3.4523.924f.32ca1d2ac988	1.7351818112635657
10532.eb4ece61.6afe.4c88.8a06.d616dab1dd34	6.03326360377318
10532.ebe9e631.4fc4.4ab0.97d0.1514a2d3e721	0.8370546612957086
10532.ed4ed071.074d.425f.a876.86a05ab2ee88	4.033966953184965
10532.ef09f7db.a7fc.4a83.86b2.ec525f831954	4.971238189852916
10532.f0b9f32d.6815.4098.8c8e.509afcde0b32	4.149293946490991
10532.f7244ef5.ef81.44f1.9512.91272b5ccea5	5.715874360349521
10532.fa4e5dcc.7b0a.4fb1.989d.b19aec98e047	3.5929223433760633
10532.fa6fda2b.4a99.4231.9325.0d74d8ae451c	5.047000884607299
10532.fadb8582.a342.46ba.8926.98ff97240824	5.466906327049885
10532.fcbc952d.9cf3.4190.9085.3286d5b236ba	5.886024944680162
10532.00cdbb86.acbd.429c.abe3.12f19990314a	4.707899483130108
10532.00e6b118.fb6e.4022.96d1.62e553d9b40c	3.5724529744087383
10532.0129210b.a355.4608.8aac.7e6d637c0b5c	5.734966996615726
10532.03a27c57.cf57.417a.90fe.5b9d5ffb32c0	4.632571072381145
10532.04fd9a21.4876.4619.b4e7.6f6a2473bb98	4.92201300730326
10532.05ddd9c2.3f7f.4b2a.8432.06f416424741	4.751642336783571
10532.0717cd28.3894.450b.a177.8e41899fa790	5.58631060021285
10532.07b37371.e1be.4806.ba9e.105e8b6eb137	3.1296653913883037
10532.09aae222.0d4d.449f.b284.e4aa4151bd18	5.583967552918769
10532.0d0b86b0.b46c.47d2.a0e8.c862dba23fa3	4.054150138262484
10532.0d8cd22b.1b5e.4fe1.abe4.a53346e6f530	4.572729641235652
10532.0e5f0298.f09a.406d.a54f.4683590a58ef	3.3575314061584836
10532.0ec75303.6a6a.4ad9.aa50.f98525d9e3f0	0.310235134317093
10532.112c4226.3f1f.4a90.bd62.bd09a8a0b791	5.334372460027488
10532.1193c5d0.fb53.406a.9626.bcdd00a82103	5.5850425193648965
10532.12e944d7.69e9.44f6.8c3d.a9e40d1a21a4	4.857644017722077
10532.1a8d256c.9a6f.4c7d.8abd.c351d01866c5	2.0386078605489852
10532.1bf8a3f7.4718.473a.a4bf.3b0e18e64bd4	2.5082448675483158
10532.1c63c66a.65e6.4d7e.a9af.34ae133db4ed	4.152003848150294
10532.1e8adbe1.044e.4b21.af0e.a335e0bc4887	4.911336614720066
10532.22cd99a9.2745.44ba.823e.6cdf1048d579	5.261023833303984
10532.233fcfbc.5afa.47ac.a735.968ca156ce3f	4.997377336435184
10532.249f97fa.3992.4b77.b0c9.c27e4ecbe59f	4.718844072162842
10532.2607b960.7718.461c.bc21.4f612d26a218	3.4798499747073217
10532.273e797e.41f1.41a2.be36.43e50efe335e	3.3903718225108004
10532.2815b5d2.60b8.4244.9502.17f693e4d39b	3.3866590983392952
10532.2ada20cb.636b.4f43.9218.e821faee673e	3.9934344246816367
10532.2fc381cd.1f0f.484f.bc0c.0c45f7b291a1	4.201761962467575
10532.3263647b.bc7d.4256.940c.fcea00129687	6.075078368572658
10532.336fae55.6ef3.49af.8688.e709584a1bd9	5.798829493103252
10532.366e22db.3165.4d5d.accb.a685fa1c7472	1.8812461026298812
10532.3857f412.791b.4565.b56b.77ba1eb058da	3.522209628497145
10532.399ee668.fc0f.4632.a48c.9d9025b608aa	2.1157529351352267
10532.3a2907ca.4345.45f6.b81d.a99fd8361bbb	2.4757230435216435
10532.3bb587a6.3e5f.4f98.aa3d.7808edeaa041	4.495143723959525
10532.3bcd3e9f.940c.497c.9507.cd6d1af7e5e9	4.669252991457122
10532.3f8e3f61.513a.4f35.8ebf.0586db2cf820	4.621187073449415
10532.40ded5d4.2577.43f1.9155.298cdafca4d4	5.121986194625779
10532.4163ae3d.2479.44b1.9d80.95d691e7da48	5.36139773409916
10532.43083975.cd2d.42da.9635.0634b5aadd6a	5.3431398222017545
10532.43da1a2f.cd3b.4ba7.bc1c.f52d9944d458	4.130738994814518
10532.447cc359.470e.4d74.ba9c.318b733e8d1f	4.802694418940678
10532.4699dde6.97b1.4f66.ab36.a6f92bd5945b	2.6727312203304723
10532.4960a10c.b6cc.42a8.8fe6.6d7bcb6bbd69	5.670367373030247
10532.4a31859a.fef7.48e8.b8f5.0100f180cd42	4.7972812343209865
10532.4e06f8e7.ca04.4084.8ed6.9799d589df32	5.602459640937782
10532.4e92e999.4cb7.4bd8.9a13.459d58232fe2	5.527393190580472
10532.4f5d4951.41da.4207.ad9f.fce2da3ffa1d	4.289371832828843
10532.521f43b2.6a67.4c73.a80f.24bc87ae8cf0	4.92309371928519
10532.591ee23e.56bf.4275.8630.9015f9f330a5	2.662258018148905
10532.5b24f7ea.9e02.4d89.bc02.03388ed68273	4.610511675465536
10532.5c70a21a.1611.47be.93bd.1bf502987de1	5.3212825929602445
10532.5f2a8e9c.2b06.4f55.b367.1ac06421735a	4.790598210494888
10532.6026474e.6bee.4712.b2d8.4a22451cf9e8	4.720303915499651
10532.6045e855.8ac7.48ed.aecc.c8eab29ec9db	3.2745731870169124
10532.67600aee.3bd9.443f.9456.fe673ba24844	5.582636858794622
10532.67b4e332.53fc.42c9.bc70.ef7cfbed28f1	5.162832747621426
10532.67e18471.f314.4a13.a71f.65010aed2058	2.8704459341540574
10532.67f932e7.6a3e.4ab2.9627.0fb5430bac23	2.6146712943775348
10532.68fc23c8.68cc.4b31.a3f4.0411079d673a	5.245807372460708
10532.69c1e627.b5c7.4003.88b7.934c5f77f079	4.97534084664766
10532.6a552f98.0cab.4605.aa1c.401c6fab4a54	5.753251582587751
10532.6c3ce76b.620e.42b7.a24a.0ff2b3c37195	2.6223935296011067
10532.6c9744b7.c409.40ba.8f3a.278213a8ccf6	4.876534922856522
10532.6e887652.7990.409b.bd72.01a4bf5a7a2c	5.837488744549966
10532.6ff86078.b0f6.40f1.9928.333f0954555d	5.753871593713793
10532.72dd84a6.192a.4879.9fc1.8260e7b92457	5.711915070598551
10532.76a5ac2d.49be.491e.a5c2.adcb61e07894	4.252795685301496
10532.7784d541.bb0c.4a5d.a894.2efca9dae3b1	4.394858456052434
10532.7a88ccf2.1f0f.43e8.ae0e.d3de08c1f045	5.148447043581967
10532.7cd751c9.7106.4e4f.8588.b9e9035ba333	4.996840700887889
10532.7ee156e0.2353.47bd.b4d0.e6cb56bcd611	5.953921563415375
10532.82c1f0a9.ecfe.45df.9aa5.c39385ca1c32	4.384684317176226
10532.8349ca0d.fceb.4200.bc96.3f39f2e37e48	5.441546760363855
10532.85211605.2ea8.4e08.8b40.c23cdc2b0ef4	4.8955306469594015
10532.853d0766.feac.4df4.ae31.440cc55d23f3	5.716236269097162
10532.898a69ad.8762.48d3.b286.356551d1bd83	3.1852788567361277
10532.8bc148ce.c18e.4e78.b321.1bc49b69f33c	4.712142285847268
10532.8c53081c.7a13.4c8f.bbbf.b332785b3e21	3.235069041990373
10532.90b5a4f1.85bf.43ba.b100.08c077f4b0cd	5.7082585779200015
10532.90e7d744.0e3b.4081.a2b5.3b82e5323b25	3.371330438485096
10532.9362298f.4177.4fb2.8a1e.9c4e4d5eb058	5.876335612947932
10532.96e90c95.020c.41ef.9828.85cd563eb8bb	1.8073755194939687
10532.990b9c49.0a02.41d5.936d.9ee172c33b2f	5.241594278047827
10532.9ae6a37c.be4b.4ce6.afce.7bb6ab13e531	4.764352847800376
10532.9b692a58.33a3.4645.86a3.3cd91d3a1b4b	4.914566949135422
10532.9be04e3a.a432.42ef.892d.ee025e4171ee	2.4127317040586265
10532.9c01ae7a.4e91.40b3.9b10.b8d859f7709a	5.181541498501604
10532.9c0fc647.8ae0.4c53.95ab.c0c9b5995ce6	4.5816008766227085
10532.9e09667c.116e.493a.9871.eb20ffaa78c3	4.065744884012889
10532.9ed6ca18.aff3.4795.ab4a.1b7af3b839a9	1.8233348422136209
10532.9f8969fc.b303.470c.826d.6c3bab546727	4.905200265924339
10532.a15775e3.7351.4cb6.a3c9.113f18271447	4.907787412620183
10532.a221b74c.6515.4506.b941.abd8da16efe4	5.990039436396065
10532.a2233d99.3e53.4996.84a6.56da14785ffa	5.75092426254953
10532.a3adc0e6.915f.4d4a.abc6.b8a32c30e0ba	5.979308472394171
10532.a3d004ed.f43a.4320.83e9.b5cb8dc20328	0.700165977989814
10532.a4aa5c1f.05ae.4f0e.a0b8.441e2307642b	5.904638717979449
10532.a55678f2.b1d1.4678.a840.2cec63428885	4.6655929340509195
10532.a6635d85.9454.4cc3.9ef4.fa1c21acde4d	5.717711052892837
10532.b0d2cdfb.2bbb.4fc2.8b26.9163ae7a6bf1	5.423892315571815
10532.b1603450.fce3.449f.88a5.38041fecbc22	5.337192460032937
10532.b5a7bdac.77d4.4360.a903.5f4f3034d85c	3.6747637387482643
10532.b63e4b2e.ab70.4a37.9c9e.0f7e82d2e96e	5.6636778321786645
10532.b6deebb1.472e.46b7.82ea.2fe2d25da9f6	5.625339869714539
10532.ba4e041a.56fc.4889.a4dc.83a66f2f3b60	6.123967717287955
10532.bb62f37b.e2d2.4ac6.aad1.5e299d85d153	4.6042455351296665
10532.bc440644.d581.479b.b1f7.c26cada13dbf	4.6438069784968565
10532.bf016276.b4db.458b.ae2a.baa94e9693a7	2.7428535272252126
10532.c01d6020.e9e7.4c68.96db.e8d91c7540e2	2.8889990143707216
10532.c200e55d.869e.4e3c.8c18.4e9700df4f53	4.6920338506737025
10532.c27fbf59.c359.4773.9236.d23daff0faef	4.471630699234944
10532.c432ffae.1407.4d05.a1da.33259e237d14	3.3576951572570137
10532.c87aa886.d2cf.432a.b38b.f40c01cb1965	2.3831825456684284
10532.ca812b48.e567.4bd5.b834.28a634b4e61c	3.41142551075974
10532.cb49481b.aea0.4f5c.ac10.fb6ce4693b40	5.258724789311213
10532.cb7c9f30.3ea4.464b.ac67.0ba656e7e817	1.6272821430952502
10532.cbab4e97.4fde.4ee3.8a5a.10c1b3dda26c	3.6141747204597685
10532.cc52726a.bed3.4840.a146.2a4c58978b89	5.55854447224225
